Date : 2023-12-30 05:11:06
Directory : c:\flutter\graduation project\takaful
Total : 210 files,  9913 codes, 1185 comments, 992 blanks, all 12090 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| c:\flutter\graduation project\takaful\lib\features\auth\presentation\views\login_page.dart                                                                                      | Dart            |        141 |          3 |          6 |        150 |
| c:\flutter\graduation project\takaful\lib\features\auth\presentation\views\login_reqister_page.dart                                                                             | Dart            |          0 |         77 |          5 |         82 |
| c:\flutter\graduation project\takaful\lib\features\auth\presentation\views\register_page.dart                                                                                   | Dart            |        161 |          0 |          6 |        167 |
| c:\flutter\graduation project\takaful\lib\features\auth\presentation\views\widget\create_register_account_button.dart                                                           | Dart            |         29 |          0 |          2 |         31 |
| c:\flutter\graduation project\takaful\lib\features\auth\presentation\views\widget\forget_password_button.dart                                                                   | Dart            |         24 |          0 |          2 |         26 |
| c:\flutter\graduation project\takaful\lib\features\donation_request\data\model\request_donation.dart                                                                            | Dart            |         27 |          0 |          1 |         28 |
| c:\flutter\graduation project\takaful\lib\features\donation_request\presentation\cubit\accept_request\accept_request_cubit.dart                                                 | Dart            |         31 |          2 |          7 |         40 |
| c:\flutter\graduation project\takaful\lib\features\donation_request\presentation\cubit\accept_request\accept_request_state.dart                                                 | Dart            |          4 |          0 |          3 |          7 |
| c:\flutter\graduation project\takaful\lib\features\donation_request\presentation\cubit\get_request\get_request_cubit.dart                                                       | Dart            |         38 |          4 |          4 |         46 |
| c:\flutter\graduation project\takaful\lib\features\donation_request\presentation\cubit\get_request\get_request_state.dart                                                       | Dart            |         11 |          2 |          6 |         19 |
| c:\flutter\graduation project\takaful\lib\features\donation_request\presentation\cubit\send_notification\send_notification_cubit.dart                                           | Dart            |         54 |          3 |          3 |         60 |
| c:\flutter\graduation project\takaful\lib\features\donation_request\presentation\cubit\send_notification\send_notification_state.dart                                           | Dart            |          4 |          0 |          3 |          7 |
| c:\flutter\graduation project\takaful\lib\features\donation_request\presentation\views\my_donation_requests_page.dart                                                           | Dart            |         71 |          2 |          8 |         81 |
| c:\flutter\graduation project\takaful\lib\features\donation_request\presentation\views\widget\accept_widget.dart                                                                | Dart            |         20 |          0 |          3 |         23 |
| c:\flutter\graduation project\takaful\lib\features\donation_request\presentation\views\widget\my_donation_request_component.dart                                                | Dart            |         93 |          2 |          4 |         99 |
| c:\flutter\graduation project\takaful\lib\features\donation_request\presentation\views\widget\my_donation_requests_button.dart                                                  | Dart            |         33 |          0 |          2 |         35 |
| c:\flutter\graduation project\takaful\lib\features\donation_request\presentation\views\widget\my_donation_requests_component.dart                                               | Dart            |        170 |          9 |          8 |        187 |
| c:\flutter\graduation project\takaful\lib\features\get_category\data\model\category_model.dart                                                                                  | Dart            |         12 |          0 |          2 |         14 |
| c:\flutter\graduation project\takaful\lib\features\get_category\presentation\cubit\cubit\get_category_cubit.dart                                                                | Dart            |         31 |          0 |          4 |         35 |
| c:\flutter\graduation project\takaful\lib\features\get_category\presentation\cubit\cubit\get_category_state.dart                                                                | Dart            |         11 |          2 |          6 |         19 |
| c:\flutter\graduation project\takaful\lib\features\get_category\presentation\views\items_type_page.dart                                                                         | Dart            |        108 |          0 |          7 |        115 |
| c:\flutter\graduation project\takaful\lib\features\get_category\presentation\views\service_type_page.dart                                                                       | Dart            |        104 |          0 |          6 |        110 |
| c:\flutter\graduation project\takaful\lib\features\get_category\presentation\views\widget\category_menu.dart                                                                    | Dart            |        103 |          0 |          2 |        105 |
| c:\flutter\graduation project\takaful\lib\features\get_donation\data\model\donation_model.dart                                                                                  | Dart            |         51 |          0 |          2 |         53 |
| c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\cubit\get_donation_cubit\get_donation_cubit.dart                                                   | Dart            |        109 |          1 |          4 |        114 |
| c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\cubit\get_donation_cubit\get_donation_state.dart                                                   | Dart            |         10 |          1 |          6 |         17 |
| c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\cubit\request_donation\request_donation_cubit.dart                                                 | Dart            |         28 |          2 |          4 |         34 |
| c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\cubit\request_donation\request_donation_state.dart                                                 | Dart            |          4 |          0 |          3 |          7 |
| c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\donation_details_page.dart                                                                   | Dart            |        143 |         23 |         11 |        177 |
| c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\donations_page.dart                                                                          | Dart            |         89 |          1 |          7 |         97 |
| c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\filter_page.dart                                                                             | Dart            |         18 |          0 |          3 |         21 |
| c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\helper\custom_alert_Dialog.dart                                                              | Dart            |         77 |          1 |          4 |         82 |
| c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\helper\equation_for_rating.dart                                                              | Dart            |          5 |          0 |          1 |          6 |
| c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\request_donation_process.dart                                                                | Dart            |         75 |          0 |          5 |         80 |
| c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\donation_details_widget\custom_rating_bar.dart                                        | Dart            |         44 |          0 |          4 |         48 |
| c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\donation_details_widget\description_box.dart                                          | Dart            |         35 |          0 |          4 |         39 |
| c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\donation_details_widget\donar_account_box.dart                                        | Dart            |        216 |         66 |         12 |        294 |
| c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\donation_details_widget\donation_details_button.dart                                  | Dart            |         26 |          0 |          2 |         28 |
| c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\donation_details_widget\donation_details_image.dart                                   | Dart            |         20 |          0 |          2 |         22 |
| c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\donation_details_widget\donation_details_info.dart                                    | Dart            |         53 |          0 |          2 |         55 |
| c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\donation_details_widget\image_count_and_full_count.dart                               | Dart            |         51 |          0 |          2 |         53 |
| c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\donation_details_widget\request_button.dart                                           | Dart            |         30 |          0 |          2 |         32 |
| c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\donation_details_widget\title_donation_details_page.dart                              | Dart            |         20 |          0 |          2 |         22 |
| c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\donation_widget\donation_component.dart                                               | Dart            |        107 |         17 |          3 |        127 |
| c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\donation_widget\donation_cover_Info.dart                                              | Dart            |         56 |          0 |          2 |         58 |
| c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\donation_widget\donation_cover_image.dart                                             | Dart            |         36 |          4 |          1 |         41 |
| c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\filter_widget\body_of_botton_sheet.dart                                               | Dart            |         43 |          0 |          4 |         47 |
| c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\filter_widget\filter_result_button.dart                                               | Dart            |         35 |          0 |          2 |         37 |
| c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\filter_widget\fulter_button_to_bottn_sheet.dart                                       | Dart            |         30 |          0 |          3 |         33 |
| c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\filter_widget\location_filter.dart                                                    | Dart            |        102 |          1 |          5 |        108 |
| c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\filter_widget\order_and_filter.dart                                                   | Dart            |         36 |          5 |          2 |         43 |
| c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\filter_widget\order_button.dart                                                       | Dart            |         28 |          0 |          2 |         30 |
| c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\filter_widget\type_of_donation_filter.dart                                            | Dart            |         89 |          1 |          6 |         96 |
| c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\image_count.dart                                                                      | Dart            |         45 |          0 |          2 |         47 |
| c:\flutter\graduation project\takaful\lib\features\home\data\ad_model.dart                                                                                                      | Dart            |          8 |          0 |          2 |         10 |
| c:\flutter\graduation project\takaful\lib\features\home\presentation\cubit\cubit\get_ads_cubit.dart                                                                             | Dart            |         22 |          0 |          4 |         26 |
| c:\flutter\graduation project\takaful\lib\features\home\presentation\cubit\cubit\get_ads_state.dart                                                                             | Dart            |          9 |          0 |          6 |         15 |
| c:\flutter\graduation project\takaful\lib\features\home\presentation\views\Modern_Elements_page.dart                                                                            | Dart            |         63 |          0 |          6 |         69 |
| c:\flutter\graduation project\takaful\lib\features\home\presentation\views\home_page.dart                                                                                       | Dart            |         87 |          6 |          8 |        101 |
| c:\flutter\graduation project\takaful\lib\features\home\presentation\views\home_page_content.dart                                                                               | Dart            |         96 |          0 |          5 |        101 |
| c:\flutter\graduation project\takaful\lib\features\home\presentation\views\keep_browsing_page.dart                                                                              | Dart            |         64 |          0 |          6 |         70 |
| c:\flutter\graduation project\takaful\lib\features\home\presentation\views\navegator_page.dart                                                                                  | Dart            |         67 |          1 |          4 |         72 |
| c:\flutter\graduation project\takaful\lib\features\home\presentation\views\widget\ad_application.dart                                                                           | Dart            |         33 |          0 |          2 |         35 |
| c:\flutter\graduation project\takaful\lib\features\home\presentation\views\widget\ad_component.dart                                                                             | Dart            |         80 |          0 |          6 |         86 |
| c:\flutter\graduation project\takaful\lib\features\home\presentation\views\widget\ad_post.dart                                                                                  | Dart            |         74 |          0 |          3 |         77 |
| c:\flutter\graduation project\takaful\lib\features\home\presentation\views\widget\category.dart                                                                                 | Dart            |         42 |          0 |          2 |         44 |
| c:\flutter\graduation project\takaful\lib\features\home\presentation\views\widget\home_page_app_bar.dart                                                                        | Dart            |         53 |          3 |          4 |         60 |
| c:\flutter\graduation project\takaful\lib\features\my_donation\presentation\cubit\cubit\edit_and_delete_donation_cubit.dart                                                     | Dart            |         40 |          0 |          4 |         44 |
| c:\flutter\graduation project\takaful\lib\features\my_donation\presentation\cubit\cubit\edit_and_delete_donation_state.dart                                                     | Dart            |          6 |          0 |          6 |         12 |
| c:\flutter\graduation project\takaful\lib\features\my_donation\presentation\view\edit_donation_page.dart                                                                        | Dart            |        152 |         15 |         11 |        178 |
| c:\flutter\graduation project\takaful\lib\features\my_donation\presentation\view\my_donation_page.dart                                                                          | Dart            |         94 |          3 |          5 |        102 |
| c:\flutter\graduation project\takaful\lib\features\my_donation\presentation\view\widget\image_donation_cover.dart                                                               | Dart            |         35 |          0 |          4 |         39 |
| c:\flutter\graduation project\takaful\lib\features\my_donation\presentation\view\widget\my_donation_component.dart                                                              | Dart            |        124 |         12 |          7 |        143 |
| c:\flutter\graduation project\takaful\lib\features\my_request\presentation\my_request_donation_details_page.dart                                                                | Dart            |        145 |         22 |         11 |        178 |
| c:\flutter\graduation project\takaful\lib\features\my_request\presentation\view\my_request_page.dart                                                                            | Dart            |         72 |          2 |          8 |         82 |
| c:\flutter\graduation project\takaful\lib\features\my_request\presentation\view\widget\my_request_component.dart                                                                | Dart            |         87 |         10 |          7 |        104 |
| c:\flutter\graduation project\takaful\lib\features\my_request\presentation\view\widget\my_request_process.dart                                                                  | Dart            |         61 |          0 |          5 |         66 |
| c:\flutter\graduation project\takaful\lib\features\notification\data\model\notification_model.dart                                                                              | Dart            |         24 |          0 |          3 |         27 |
| c:\flutter\graduation project\takaful\lib\features\notification\presentation\cubit\get_user_and_notification\get_user_and_notification_cubit.dart                               | Dart            |         37 |          0 |          5 |         42 |
| c:\flutter\graduation project\takaful\lib\features\notification\presentation\cubit\get_user_and_notification\get_user_and_notification_state.dart                               | Dart            |         13 |          2 |          7 |         22 |
| c:\flutter\graduation project\takaful\lib\features\notification\presentation\cubit\notification_cubit\notification_cubit.dart                                                   | Dart            |         26 |          0 |          3 |         29 |
| c:\flutter\graduation project\takaful\lib\features\notification\presentation\cubit\notification_cubit\notification_state.dart                                                   | Dart            |         12 |          2 |          6 |         20 |
| c:\flutter\graduation project\takaful\lib\features\notification\presentation\views\helper\custom_dialog.dart                                                                    | Dart            |         31 |          0 |          2 |         33 |
| c:\flutter\graduation project\takaful\lib\features\notification\presentation\views\notifcation_page.dart                                                                        | Dart            |         72 |          0 |          6 |         78 |
| c:\flutter\graduation project\takaful\lib\features\notification\presentation\views\widget\notification_component.dart                                                           | Dart            |        148 |          5 |          5 |        158 |
| c:\flutter\graduation project\takaful\lib\features\notification\presentation\views\widget\notification_component_old.dart                                                       | Dart            |          0 |         97 |          3 |        100 |
| c:\flutter\graduation project\takaful\lib\features\notification\presentation\views\widget\type_of_notification_component.dart                                                   | Dart            |         92 |          0 |          4 |         96 |
| c:\flutter\graduation project\takaful\lib\features\profile\presentation\cubit\delete_account\delete_account_cubit.dart                                                          | Dart            |         29 |         21 |          5 |         55 |
| c:\flutter\graduation project\takaful\lib\features\profile\presentation\cubit\delete_account\delete_account_state.dart                                                          | Dart            |          9 |          1 |          5 |         15 |
| c:\flutter\graduation project\takaful\lib\features\profile\presentation\cubit\get_user_details\get_user_details_cubit.dart                                                      | Dart            |         46 |          6 |          7 |         59 |
| c:\flutter\graduation project\takaful\lib\features\profile\presentation\cubit\get_user_details\get_user_details_state.dart                                                      | Dart            |         24 |          1 |         10 |         35 |
| c:\flutter\graduation project\takaful\lib\features\profile\presentation\cubit\update_user_data\update_user_data_cubit.dart                                                      | Dart            |         17 |          0 |          4 |         21 |
| c:\flutter\graduation project\takaful\lib\features\profile\presentation\cubit\update_user_data\update_user_data_state.dart                                                      | Dart            |          3 |          0 |          3 |          6 |
| c:\flutter\graduation project\takaful\lib\features\profile\presentation\views\manage_profile_page.dart                                                                          | Dart            |        180 |         18 |         10 |        208 |
| c:\flutter\graduation project\takaful\lib\features\profile\presentation\views\profile_page.dart                                                                                 | Dart            |        140 |         15 |          4 |        159 |
| c:\flutter\graduation project\takaful\lib\features\profile\presentation\views\widget\profile_app_bar.dart                                                                       | Dart            |         66 |          0 |          3 |         69 |
| c:\flutter\graduation project\takaful\lib\features\profile\presentation\views\widget\profile_button.dart                                                                        | Dart            |         38 |          0 |          3 |         41 |
| c:\flutter\graduation project\takaful\lib\features\profile\presentation\views\widget\widget_manage_profile\add_image_profile_button.dart                                        | Dart            |         42 |          0 |          4 |         46 |
| c:\flutter\graduation project\takaful\lib\features\profile\presentation\views\widget\widget_manage_profile\change_password_button.dart                                          | Dart            |         33 |          0 |          3 |         36 |
| c:\flutter\graduation project\takaful\lib\features\profile\presentation\views\widget\widget_manage_profile\dialog_content.dart                                                  | Dart            |         60 |          0 |          2 |         62 |
| c:\flutter\graduation project\takaful\lib\features\profile\presentation\views\widget\widget_manage_profile\display_email.dart                                                   | Dart            |         29 |          0 |          4 |         33 |
| c:\flutter\graduation project\takaful\lib\features\profile\presentation\views\widget\widget_manage_profile\edit_text_field.dart                                                 | Dart            |         62 |          0 |          3 |         65 |
| c:\flutter\graduation project\takaful\lib\features\profile\presentation\views\widget\widget_manage_profile\manage_profile_button.dart                                           | Dart            |         39 |          0 |          2 |         41 |
| c:\flutter\graduation project\takaful\lib\features\profile\presentation\views\widget\widget_manage_profile\text_field.dart                                                      | Dart            |         51 |          1 |          3 |         55 |
| c:\flutter\graduation project\takaful\lib\features\save_doantion\data\save_donation_model.dart                                                                                  | Dart            |          0 |          9 |          3 |         12 |
| c:\flutter\graduation project\takaful\lib\features\save_doantion\presentation\cubit\cubit\save_donation_cubit.dart                                                              | Dart            |          0 |         34 |          6 |         40 |
| c:\flutter\graduation project\takaful\lib\features\save_doantion\presentation\cubit\cubit\save_donation_state.dart                                                              | Dart            |          0 |         13 |          6 |         19 |
| c:\flutter\graduation project\takaful\lib\features\save_doantion\presentation\view\save_donation_page.dart                                                                      | Dart            |          0 |        297 |         21 |        318 |
| c:\flutter\graduation project\takaful\lib\features\splash\presentation\views\splash_view.dart                                                                                   | Dart            |         59 |          0 |          5 |         64 |
| c:\flutter\graduation project\takaful\lib\firebase_options.dart                                                                                                                 | Dart            |         68 |         12 |          6 |         86 |
| c:\flutter\graduation project\takaful\lib\main.dart                                                                                                                             | Dart            |         85 |          0 |          5 |         90 |
| c:\flutter\graduation project\takaful\lib\notification_services.dart                                                                                                            | Dart            |         75 |          0 |          6 |         81 |
| c:\flutter\graduation project\takaful\linux\flutter\generated_plugin_registrant.cc                                                                                              | C++             |         15 |          4 |          5 |         24 |
| c:\flutter\graduation project\takaful\linux\flutter\generated_plugin_registrant.h                                                                                               | C++             |          5 |          5 |          6 |         16 |
| c:\flutter\graduation project\takaful\linux\main.cc                                                                                                                             | C++             |          5 |          0 |          2 |          7 |
| c:\flutter\graduation project\takaful\linux\my_application.cc                                                                                                                   | C++             |         74 |         11 |         20 |        105 |
| c:\flutter\graduation project\takaful\linux\my_application.h                                                                                                                    | C++             |          7 |          7 |          5 |         19 |
| c:\flutter\graduation project\takaful\macos\Flutter\GeneratedPluginRegistrant.swift                                                                                             | Swift           |         28 |          3 |          4 |         35 |
| c:\flutter\graduation project\takaful\macos\Runner\AppDelegate.swift                                                                                                            | Swift           |          8 |          0 |          2 |         10 |
| c:\flutter\graduation project\takaful\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                                                                             | JSON            |         68 |          0 |          1 |         69 |
| c:\flutter\graduation project\takaful\macos\Runner\Base.lproj\MainMenu.xib                                                                                                      | XML             |        343 |          0 |          1 |        344 |
| c:\flutter\graduation project\takaful\macos\Runner\MainFlutterWindow.swift                                                                                                      | Swift           |         12 |          0 |          4 |         16 |
| c:\flutter\graduation project\takaful\macos\firebase_app_id_file.json                                                                                                           | JSON            |          7 |          0 |          0 |          7 |
| c:\flutter\graduation project\takaful\pubspec.yaml                                                                                                                              | YAML            |         48 |         47 |          7 |        102 |
| c:\flutter\graduation project\takaful\test\widget_test.dart                                                                                                                     | Dart            |         14 |         10 |          7 |         31 |
| c:\flutter\graduation project\takaful\web\index.html                                                                                                                            | HTML            |         38 |         16 |          6 |         60 |
| c:\flutter\graduation project\takaful\web\manifest.json                                                                                                                         | JSON            |         35 |          0 |          1 |         36 |
| c:\flutter\graduation project\takaful\windows\flutter\generated_plugin_registrant.cc                                                                                            | C++             |         30 |          4 |          5 |         39 |
| c:\flutter\graduation project\takaful\windows\flutter\generated_plugin_registrant.h                                                                                             | C++             |          5 |          5 |          6 |         16 |
| c:\flutter\graduation project\takaful\windows\runner\flutter_window.cpp                                                                                                         | C++             |         49 |          7 |         16 |         72 |
| c:\flutter\graduation project\takaful\windows\runner\flutter_window.h                                                                                                           | C++             |         20 |          5 |          9 |         34 |
| c:\flutter\graduation project\takaful\windows\runner\main.cpp                                                                                                                   | C++             |         30 |          4 |         10 |         44 |
| c:\flutter\graduation project\takaful\windows\runner\resource.h                                                                                                                 | C++             |          9 |          6 |          2 |         17 |
| c:\flutter\graduation project\takaful\windows\runner\utils.cpp                                                                                                                  | C++             |         53 |          2 |         10 |         65 |
| c:\flutter\graduation project\takaful\windows\runner\utils.h                                                                                                                    | C++             |          8 |          6 |          6 |         20 |
| c:\flutter\graduation project\takaful\windows\runner\win32_window.cpp                                                                                                           | C++             |        210 |         24 |         55 |        289 |
| c:\flutter\graduation project\takaful\windows\runner\win32_window.h                                                                                                             | C++             |         48 |         31 |         24 |        103 |
| Total                                                                                                                                                                           |                 |      9,913 |      1,185 |        992 |     12,090 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
